"N","V1","V2"
32,"185.6042","7.7742"
64,"1046.2971","32.9874"
128,"947.0100","46.5555"
256,"531.3129","60.7302"
512,"605.7852","53.7048"
1000,"1923.4432","56.1897"
2000,"859.1831","40.7302"
4000,"929.3801","73.4274"
8000,"933.5483","77.6693"
9000,"925.0222","66.4617"
10000,"924.3427","54.8764"
