"N","V1","V2"
32,"41612.7213","17431.8158"
64," 10576.0094","35060.4085"
128,"16854.5638","27602.6991"
256,"13958.3774","17710.3235"
512,"9872.8469","11986.0995 "
1000,"14726.8988","10435.6879"
2000,"11851.9154","6774.2350"
4000,"11342.8082","7587.8008"
8000,"14794.0123","11884.0522"
9000,"14805.3666","10468.2416"
10000,"14726.8988","10437.2054"
