N,V1,V2
32,0.001705002,0.0026509985
64,0.0042279996,0.0029780008
128,0.014049999,0.0023249984
256,0.13958,0.0054989979
512,0.413526,0.0094420016
1000,1.042323,0.018369
2000,4.57679,0.04865
4000,18.145258,0.056412999
8000,69.156743,0.105919
9000,88.002157,0.13592
10000,108.02436,0.14698701
