N,V1,V2
32,379.9966,130.7036
64,2113.2184, 557.6929
128,1902.3935, 789.2617
256,1064.8386,2438.2325
512,1212.7929,912.3520
1000,1923.4432, 954.8870
2000,1718.7994, 692.2908
4000,1858.9937,1248.1549
8000,1867.2135,1320.3198
9000,1850.1473,1129.8049
10000,1848.7779,1292.0766
