"N","V1","V2"
32,"1132.2776","420.4691"
64,"1463.3217"," 1130.0736"
128,"1124.0429","1222.6511"
256,"458.6613","1246.2493"
512,"435.6301","1141.8180"
1000,"646.0302","1077.9517"
2000,"923.8115","1157.9970"
4000,"921.5287","1008.1282"
8000,"919.8452"," 673.7282"
9000,"918.3207","759.4073"
10000,"924.7081","661.7603"
