N,V1,V2
32,2192.0619,835.5475
64,2870.2655,2225.2683
128,2224.2409,2397.1371
256, 912.2113,2438.2325
512,868.7714,2231.5800
1000,1290.1474,2105.6895
2000,1846.2463,2261.4507
4000,1842.3685,1968.5111
8000,1839.3458,1315.4612
9000,1836.3356,1482.7397
10000,1849.1391,1292.0766
