N,V1,V2
32,0.24753232,0.59664296
64,0.24739668,0.56060316
128,0.23185432,0.24391324
256,0.70936048,0.24095368
512,1.1540974,0.25006984
1000,2.0379825,0.26363776
2000,4.653744,0.2936162
4000,19.070276,0.33303196
8000,69.601254,0.44939352
9000,87.984604,0.49559764
10000,108.64169,0.55490364
