"N","V1","V2"
32,9920,3137
64,21976,13599
128,63135,21968
256,223310,39090
512,854950,80497
1000,3206428,166497
2000,13119800,344604
4000,100930000,828833
8000,401693800,1588440
9000,508195900,1711703
10000,627147800,1910891
